Gmt time,Open,High,Low,Close,Volume
07.03.2023 00:00:00.000,1846.225,1850.395,1844.045,1847.505,2649750.0538
07.03.2023 04:00:00.000,1847.485,1851.555,1845.275,1848.385,2423239.9464
07.03.2023 08:00:00.000,1848.365,1849.545,1840.855,1841.875,3355639.9942000005
07.03.2023 12:00:00.000,1841.865,1841.865,1815.555,1817.905,9799569.9644
07.03.2023 16:00:00.000,1817.705,1823.038,1812.655,1813.835,6922070.0264
07.03.2023 20:00:00.000,1813.855,1815.915,1812.795,1813.865,1425760.0010000002
08.03.2023 00:00:00.000,1813.855,1814.045,1809.248,1809.688,2295160.0255
08.03.2023 04:00:00.000,1809.688,1814.925,1809.688,1814.135,2478729.9931
08.03.2023 08:00:00.000,1814.125,1816.555,1812.265,1814.955,4427985.0125
08.03.2023 12:00:00.000,1814.965,1824.185,1812.065,1820.555,9890779.912500001
08.03.2023 16:00:00.000,1820.588,1821.765,1813.235,1816.195,4419200.0032
08.03.2023 20:00:00.000,1816.215,1816.285,1812.768,1815.175,1482350.0514999998
09.03.2023 00:00:00.000,1815.195,1816.345,1811.805,1813.598,1988209.9926
09.03.2023 04:00:00.000,1813.598,1816.005,1812.555,1814.648,2523449.9275
09.03.2023 08:00:00.000,1814.668,1820.275,1813.595,1818.605,3100779.9208000004
09.03.2023 12:00:00.000,1818.585,1835.565,1815.375,1828.595,7731320.0832
09.03.2023 16:00:00.000,1828.605,1834.898,1825.445,1830.495,5788120.0313
09.03.2023 20:00:00.000,1830.495,1832.215,1828.935,1831.415,2150639.9512
10.03.2023 00:00:00.000,1831.428,1834.765,1827.974,1829.085,3911310.0171
10.03.2023 04:00:00.000,1829.085,1834.575,1827.675,1833.405,3082400.0237999996
10.03.2023 08:00:00.000,1833.415,1837.245,1830.778,1834.865,6053810.0601
10.03.2023 12:00:00.000,1834.885,1867.348,1831.384,1862.975,18429250.1211
10.03.2023 16:00:00.000,1862.985,1865.325,1854.005,1863.748,12231780.2905
10.03.2023 20:00:00.000,1863.748,1870.065,1863.465,1867.448,3013280.0341000003
11.03.2023 00:00:00.000,1867.448,1867.448,1867.448,1867.448,0
11.03.2023 04:00:00.000,1867.448,1867.448,1867.448,1867.448,0
11.03.2023 08:00:00.000,1867.448,1867.448,1867.448,1867.448,0
11.03.2023 12:00:00.000,1867.448,1867.448,1867.448,1867.448,0
11.03.2023 16:00:00.000,1867.448,1867.448,1867.448,1867.448,0
11.03.2023 20:00:00.000,1867.448,1867.448,1867.448,1867.448,0
12.03.2023 00:00:00.000,1867.448,1867.448,1867.448,1867.448,0
12.03.2023 04:00:00.000,1867.448,1867.448,1867.448,1867.448,0
12.03.2023 08:00:00.000,1867.448,1867.448,1867.448,1867.448,0
12.03.2023 12:00:00.000,1867.448,1867.448,1867.448,1867.448,0
12.03.2023 16:00:00.000,1867.448,1867.448,1867.448,1867.448,0
12.03.2023 20:00:00.000,1872.398,1894.184,1872.398,1877.675,10197319.9844
13.03.2023 00:00:00.000,1877.695,1888.775,1872.058,1882.505,5436250.090500001
13.03.2023 04:00:00.000,1882.505,1883.635,1871.328,1876.145,6813109.8747
13.03.2023 08:00:00.000,1876.145,1893.698,1875.375,1889.505,12775270.2236
13.03.2023 12:00:00.000,1889.515,1912.995,1887.175,1904.678,20092834.9496
13.03.2023 16:00:00.000,1904.674,1914.475,1903.275,1913.188,11044149.875599999
13.03.2023 20:00:00.000,1913.158,1913.908,1909.724,1912.005,2063970.0294
14.03.2023 00:00:00.000,1912.005,1913.984,1902.505,1902.845,4938869.953199999
14.03.2023 04:00:00.000,1902.835,1913.445,1901.395,1912.555,4580869.9429
14.03.2023 08:00:00.000,1912.525,1913.235,1900.655,1904.105,10363449.811900001
14.03.2023 12:00:00.000,1904.125,1911.858,1895.228,1904.055,16252990.1267
14.03.2023 16:00:00.000,1904.065,1910.048,1902.105,1902.375,6803070.068299999
14.03.2023 20:00:00.000,1902.395,1904.825,1902.395,1902.958,1124220.0136
15.03.2023 00:00:00.000,1902.935,1905.508,1899.795,1902.725,3888379.9911
15.03.2023 04:00:00.000,1902.745,1903.385,1896.155,1896.325,3484710.0675
15.03.2023 08:00:00.000,1896.324,1918.845,1885.565,1917.944,10764940.1427
15.03.2023 12:00:00.000,1917.905,1930.215,1916.868,1927.048,20097039.6995
15.03.2023 16:00:00.000,1927.048,1937.295,1908.898,1916.675,9814480.066399999
15.03.2023 20:00:00.000,1916.645,1922.765,1915.975,1921.105,1361009.9852
16.03.2023 00:00:00.000,1921.125,1924.285,1907.455,1913.135,4865029.9907
16.03.2023 04:00:00.000,1913.115,1920.528,1912.118,1916.595,5766900.0626
16.03.2023 08:00:00.000,1916.635,1926.975,1915.645,1926.825,6860190.034
16.03.2023 12:00:00.000,1926.835,1933.385,1913.245,1918.598,17840869.9035
16.03.2023 16:00:00.000,1918.598,1921.048,1914.225,1920.425,12179450.0351
16.03.2023 20:00:00.000,1920.355,1921.985,1918.395,1921.265,1969290.0478
17.03.2023 00:00:00.000,1921.295,1929.645,1918.135,1927.625,3684170.0077
17.03.2023 04:00:00.000,1927.605,1934.265,1927.155,1930.265,5462729.9906
17.03.2023 08:00:00.000,1930.285,1937.048,1927.195,1934.955,5170409.9775
17.03.2023 12:00:00.000,1934.975,1964.805,1934.825,1959.245,16453549.8619
17.03.2023 16:00:00.000,1959.235,1987.665,1955.205,1976.085,11660260.2005
17.03.2023 20:00:00.000,1976.205,1988.998,1975.175,1987.798,1537600.0404
18.03.2023 00:00:00.000,1987.798,1987.798,1987.798,1987.798,0
18.03.2023 04:00:00.000,1987.798,1987.798,1987.798,1987.798,0
18.03.2023 08:00:00.000,1987.798,1987.798,1987.798,1987.798,0
18.03.2023 12:00:00.000,1987.798,1987.798,1987.798,1987.798,0
18.03.2023 16:00:00.000,1987.798,1987.798,1987.798,1987.798,0
18.03.2023 20:00:00.000,1987.798,1987.798,1987.798,1987.798,0
19.03.2023 00:00:00.000,1987.798,1987.798,1987.798,1987.798,0
19.03.2023 04:00:00.000,1987.798,1987.798,1987.798,1987.798,0
19.03.2023 08:00:00.000,1987.798,1987.798,1987.798,1987.798,0
19.03.2023 12:00:00.000,1987.798,1987.798,1987.798,1987.798,0
19.03.2023 16:00:00.000,1987.798,1987.798,1987.798,1987.798,0
19.03.2023 20:00:00.000,1984.148,1990.548,1974.845,1976.895,2638570.0107
20.03.2023 00:00:00.000,1976.925,1978.365,1968.015,1973.185,5870109.8561
20.03.2023 04:00:00.000,1973.208,2009.695,1972.924,2003.415,8973649.8594
20.03.2023 08:00:00.000,2003.415,2006.055,1973.805,1983.755,11798297.882100001
20.03.2023 12:00:00.000,1983.765,1986.495,1965.748,1973.725,10890100.0023
20.03.2023 16:00:00.000,1973.715,1984.225,1972.875,1977.115,5116359.949200001
20.03.2023 20:00:00.000,1977.105,1979.845,1976.195,1976.525,1058569.9975
21.03.2023 00:00:00.000,1976.545,1985.025,1975.275,1983.755,3040950.0003
21.03.2023 04:00:00.000,1983.735,1983.745,1970.195,1970.205,5544470.0121
21.03.2023 08:00:00.000,1970.145,1970.775,1962.778,1966.245,5926179.885899999
21.03.2023 12:00:00.000,1966.265,1967.025,1942.964,1948.055,14369830.131499998
21.03.2023 16:00:00.000,1948.035,1948.858,1935.194,1940.048,6572849.869700001
21.03.2023 20:00:00.000,1940.075,1943.855,1939.114,1943.035,1454759.9853
22.03.2023 00:00:00.000,1943.035,1946.145,1938.075,1939.515,3615699.9469
22.03.2023 04:00:00.000,1939.495,1943.485,1934.175,1939.735,3991509.825
22.03.2023 08:00:00.000,1939.615,1945.555,1939.495,1942.365,5425070.0474000005
22.03.2023 12:00:00.000,1942.355,1951.855,1937.005,1947.215,8242090.1060999995
22.03.2023 16:00:00.000,1947.195,1978.705,1944.775,1972.608,18878239.9893
22.03.2023 20:00:00.000,1972.608,1975.015,1964.644,1969.555,2816449.9402
23.03.2023 00:00:00.000,1969.565,1977.545,1966.245,1976.745,5634449.958800001
23.03.2023 04:00:00.000,1976.745,1983.525,1974.815,1976.785,4712770.0447
23.03.2023 08:00:00.000,1976.795,1980.595,1974.155,1978.284,6252200.0075
23.03.2023 12:00:00.000,1978.295,1986.955,1966.455,1983.995,13928500.175499998
23.03.2023 16:00:00.000,1983.975,2003.185,1982.635,1997.698,11169929.9812
23.03.2023 20:00:00.000,1997.898,1998.805,1989.955,1991.205,1810019.9997999999
24.03.2023 00:00:00.000,1991.205,1994.825,1989.614,1992.698,5822380.065900001
24.03.2023 04:00:00.000,1992.715,1993.248,1985.124,1989.385,5477090.0012
24.03.2023 08:00:00.000,1989.405,2000.225,1981.135,1995.695,7941509.9621
24.03.2023 12:00:00.000,1995.715,2002.848,1985.765,1987.205,15117929.9356
24.03.2023 16:00:00.000,1987.164,1990.505,1975.165,1975.905,5337219.953500001
24.03.2023 20:00:00.000,1975.905,1979.215,1975.085,1977.988,470270.0078
25.03.2023 00:00:00.000,1977.988,1977.988,1977.988,1977.988,0
25.03.2023 04:00:00.000,1977.988,1977.988,1977.988,1977.988,0
25.03.2023 08:00:00.000,1977.988,1977.988,1977.988,1977.988,0
25.03.2023 12:00:00.000,1977.988,1977.988,1977.988,1977.988,0
25.03.2023 16:00:00.000,1977.988,1977.988,1977.988,1977.988,0
25.03.2023 20:00:00.000,1977.988,1977.988,1977.988,1977.988,0
26.03.2023 00:00:00.000,1977.988,1977.988,1977.988,1977.988,0
26.03.2023 04:00:00.000,1977.988,1977.988,1977.988,1977.988,0
26.03.2023 08:00:00.000,1977.988,1977.988,1977.988,1977.988,0
26.03.2023 12:00:00.000,1977.988,1977.988,1977.988,1977.988,0
26.03.2023 16:00:00.000,1977.988,1977.988,1977.988,1977.988,0
26.03.2023 20:00:00.000,1979.798,1979.798,1969.104,1975.665,1662420.0344
27.03.2023 00:00:00.000,1975.645,1978.615,1972.025,1974.555,3653270.1254000003
27.03.2023 04:00:00.000,1974.535,1975.435,1965.815,1970.795,4984729.9158
27.03.2023 08:00:00.000,1970.695,1972.125,1948.045,1954.085,9016670.1079
27.03.2023 12:00:00.000,1954.075,1958.645,1943.895,1956.795,8270659.9235
27.03.2023 16:00:00.000,1956.775,1959.335,1950.625,1956.798,3734150.0521
27.03.2023 20:00:00.000,1956.788,1958.165,1955.504,1958.035,1239519.9835
28.03.2023 00:00:00.000,1958.005,1963.935,1957.645,1959.565,2836349.9641
